longitude,time,humidity,temperature,windspeed,soundvalue,distance,,latitude
7.575245, 9:29:31,0,0,-0.09,5,1194,0,51.975086
7.575245, 9:29:34,0,0,-0.09,5,1197,0,51.975086
7.575245, 9:29:34,82,10,-0.09,5,1197,0,51.975082
7.575177, 9:29:39,0,0,-0.09,5,1198,0,51.975082
7.575177, 9:29:39,82,10,-0.09,5,1198,0,51.975093
7.575182, 9:29:44,0,0,-0.09,8,1192,0,51.975093
7.575182, 9:29:44,82,10,-0.09,8,1192,0,51.975105
7.575175, 9:29:49,0,0,-0.09,7,1183,0,51.975105
7.575175, 9:29:49,82,10,-0.09,7,1183,0,51.975101
7.575158, 9:29:54,0,0,-0.19,10,1169,0,51.975101
7.575158, 9:29:54,82,10,-0.19,10,1169,0,51.97509
7.575142, 9:29:59,0,0,0.01,7,1159,0,51.97509
7.575142, 9:29:59,82,10,0.01,7,1159,0,51.97509
7.575143, 9:30:4,0,0,-0.09,7,1152,0,51.97509
7.575143, 9:30:4,82,10,-0.09,7,1152,0,51.975082
7.575149, 9:30:9,0,0,-0.09,7,1142,0,51.975082
7.575149, 9:30:9,82,10,-0.09,7,1142,0,51.97509
7.57516, 9:30:14,0,0,0.01,7,1129,0,51.97509
7.57516, 9:30:14,82,10,0.01,7,1129,0,51.975116
7.575158, 9:30:19,0,0,-0.19,6,1111,0,51.975116
7.575158, 9:30:19,82,10,-0.19,6,1111,0,51.975154
7.575153, 9:30:24,0,0,0.11,0,1097,0,51.975154
7.575153, 9:30:24,82,10,0.11,0,1097,0,51.975154
7.575157, 9:30:29,0,0,-0.19,6,1085,0,51.975154
7.575157, 9:30:29,82,10,-0.19,6,1085,0,51.975154
7.575157, 9:30:34,0,0,-0.19,8,1073,0,51.975154
7.575157, 9:30:34,82,10,-0.19,8,1073,0,51.975162
7.57516, 9:30:39,0,0,-0.38,6,1063,0,51.975162
7.57516, 9:30:39,82,10,-0.38,6,1063,0,51.975139
7.57517, 9:30:44,0,0,-0.19,3,1056,0,51.975139
7.57517, 9:30:44,82,10,-0.19,3,1056,0,51.975105
7.575205, 9:30:49,0,0,-0.09,8,1049,0,51.975105
7.575205, 9:30:49,82,10,-0.09,8,1049,0,51.975105
7.575205, 9:30:54,0,0,-0.09,6,1044,0,51.975105
7.575205, 9:30:54,82,10,-0.09,6,1044,0,51.975105
7.575205, 9:30:59,0,0,-0.19,6,1042,0,51.975105
7.575205, 9:30:59,82,10,-0.19,6,1042,0,51.975051
7.575218, 9:31:4,0,0,-0.09,3,1045,0,51.975051
7.575218, 9:31:4,82,10,-0.09,3,1045,0,51.975055
7.57525, 9:31:9,0,0,-0.19,7,1055,0,51.975055
7.57525, 9:31:9,82,10,-0.19,7,1055,0,51.975063
7.575295, 9:31:14,0,0,0.01,7,1068,0,51.975063
7.575295, 9:31:14,82,10,0.01,7,1068,0,51.975067
7.575345, 9:31:19,0,0,-0.09,2,1079,0,51.975067
7.575345, 9:31:19,82,10,-0.09,2,1079,0,51.975063
7.575362, 9:31:24,0,0,-0.19,3,1093,0,51.975063
7.575362, 9:31:24,82,10,-0.19,3,1093,0,51.975063
7.575362, 9:31:29,0,0,-0.09,5,1109,0,51.975063
7.575362, 9:31:29,82,10,-0.09,5,1109,0,51.975055
7.575462, 9:31:34,0,0,-0.09,3,1116,0,51.975055
7.575462, 9:31:34,82,10,-0.09,3,1116,0,51.975051
7.575467, 9:31:39,0,0,0.01,5,1117,0,51.975051
7.575467, 9:31:39,82,10,0.01,5,1117,0,51.975059
7.575498, 9:31:44,0,0,-0.19,7,1115,0,51.975059
7.575498, 9:31:44,82,10,-0.19,7,1115,0,51.975051
7.57552, 9:31:49,0,0,-0.09,7,1113,0,51.975051
7.57552, 9:31:49,82,10,-0.09,7,1113,0,51.975032
7.575545, 9:31:54,0,0,-0.38,5,1117,0,51.975032
7.575545, 9:31:54,82,10,-0.38,5,1117,0,51.975025
7.575595, 9:31:59,0,0,0.01,4,1127,0,51.975025
7.575595, 9:31:59,82,10,0.01,4,1127,0,51.975028
7.575622, 9:32:4,0,0,-0.19,4,1144,0,51.975028
7.575622, 9:32:4,82,10,-0.19,4,1144,0,51.975051
7.575672, 9:32:9,0,0,-0.29,4,1162,0,51.975051
7.575672, 9:32:9,82,10,-0.29,4,1162,0,51.975074
7.575662, 9:32:14,0,0,0.01,4,1174,0,51.975074
7.575662, 9:32:14,82,10,0.01,4,1174,0,51.975086
7.575708, 9:32:19,0,0,-0.09,3,1181,0,51.975086
7.575708, 9:32:19,82,10,-0.09,3,1181,0,51.975048
7.575662, 9:32:24,0,0,0.11,5,1184,0,51.975048
7.575662, 9:32:24,82,10,0.11,5,1184,0,51.975028
7.575585, 9:32:29,0,0,-0.09,6,1183,0,51.975028
7.575585, 9:32:29,82,10,-0.09,6,1183,0,51.975028
7.575492, 9:32:34,0,0,-0.09,3,1182,0,51.975028
7.575492, 9:32:34,82,10,-0.09,3,1182,0,51.975036
7.575459, 9:32:39,0,0,-0.19,4,1183,0,51.975036
7.575459, 9:32:39,82,10,-0.19,4,1183,0,51.975109
7.575453, 9:32:44,0,0,-0.09,1,1185,0,51.975109
7.575453, 9:32:44,82,10,-0.09,1,1185,0,51.975131
7.57548, 9:32:49,0,0,-0.19,5,1182,0,51.975131
7.57548, 9:32:49,82,10,-0.19,5,1182,0,51.975139
7.575535, 9:32:54,0,0,-0.19,4,1178,0,51.975139
7.575535, 9:32:54,82,10,-0.19,4,1178,0,51.975128
7.57555, 9:32:59,0,0,0.11,5,1171,0,51.975128
7.57555, 9:32:59,82,10,0.11,5,1171,0,51.975105
7.575622, 9:33:4,0,0,-0.09,3,1165,0,51.975105
7.575622, 9:33:4,82,10,-0.09,3,1165,0,51.975135
7.575716, 9:33:9,0,0,0.59,6,1164,0,51.975135
7.575716, 9:33:9,82,10,0.59,6,1164,0,51.975128
